,ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
169,AAP,2017-05-22,150.9,151.35,147.2,147.37,1919018.0,0.0,1.0,150.728118659,151.17760609,147.032333112,147.202139475,1919018.0
170,AAP,2017-05-23,139.15,143.83,139.14,140.66,3889111.0,0.0,1.0,138.991502395,143.666171681,138.981513785,140.499782442,3889111.0
171,AAP,2017-05-24,131.65,135.9,131.3,133.02,5963851.0,0.0,1.0,131.500045205,135.745204279,131.150443869,132.868484718,5963851.0
172,AAP,2017-05-25,133.0,134.0667,129.4,131.97,3918462.0,0.0,1.0,132.848507499,133.913992484,129.252608048,131.819680712,3918462.0
173,AAP,2017-05-26,131.84,135.7,131.44,134.16,2236094.0,0.0,1.0,131.689828787,135.545432087,131.290284403,134.007186211,2236094.0
174,AAP,2017-05-30,134.65,135.21,132.77,132.99,1543816.0,0.0,1.0,134.496628081,135.055990218,132.618769478,132.838518889,1543816.0
175,AAP,2017-05-31,134.14,135.4,131.62,133.63,2103339.0,0.0,1.0,133.987208992,135.2457738,131.470079376,133.477789903,2103339.0
176,AAPL,2017-05-01,145.1,147.2,144.96,146.6,32818760.0,0.0,1.0,143.924669397,146.007659099,143.785803417,145.412519184,32818760.0
177,AAPL,2017-05-02,147.54,148.09,146.84,147.51,39752670.0,0.0,1.0,146.344905051,146.890449973,145.65057515,146.315148055,39752670.0
178,AAPL,2017-05-03,145.59,147.49,144.27,147.06,45142806.0,0.0,1.0,144.410700328,146.295310058,143.101392515,145.868793119,45142806.0
179,AAPL,2017-05-04,146.52,147.14,145.81,146.53,23275690.0,0.0,1.0,145.333167196,145.948145108,144.628918297,145.343086194,23275690.0
180,AAPL,2017-05-05,146.76,148.98,146.76,148.96,26787359.0,0.0,1.0,145.571223162,147.773240846,145.571223162,147.753402849,26787359.0
181,AAPL,2017-05-08,149.03,153.7,149.03,153.0,48339210.0,0.0,1.0,147.822835839,152.455008176,147.822835839,151.760678276,48339210.0
182,AAPL,2017-05-09,153.87,154.88,153.45,153.96,35942435.0,0.0,1.0,152.623631152,153.625450009,152.207033212,152.712902139,35942435.0
183,AAPL,2017-05-10,153.63,153.94,152.11,153.26,25670456.0,0.0,1.0,152.385575186,152.693064142,150.877887402,152.018572239,25670456.0
184,AAPL,2017-05-11,152.45,154.07,152.31,153.95,25596687.0,0.63,1.0,151.833941629,153.447395125,151.694507377,153.327880051,25596687.0
185,AAPL,2017-05-12,154.7,156.42,154.67,156.1,32221756.0,0.0,1.0,154.074849262,155.787898653,154.044970494,155.46919179,32221756.0
186,AAPL,2017-05-15,156.01,156.65,155.05,155.7,25700983.0,0.0,1.0,155.379555484,156.016969211,154.423434894,155.07080821,25700983.0
187,AAPL,2017-05-16,155.94,156.06,154.72,155.47,19904679.0,0.0,1.0,155.309838358,155.429353432,154.094768441,154.841737652,19904679.0
188,AAPL,2017-05-17,153.6,154.57,149.71,150.25,49482818.0,0.0,1.0,152.97929442,153.945374599,149.105014112,149.642831944,49482818.0
189,AAPL,2017-05-18,151.27,153.34,151.13,152.54,33159664.0,0.0,1.0,150.658710071,152.720345093,150.519275818,151.923577935,33159664.0
190,AAPL,2017-05-19,153.38,153.98,152.63,152.96,26733798.0,0.0,1.0,152.760183451,153.35775882,152.01321424,152.341880693,26733798.0
